
AUSTRALIAN BUREAU OF STATISTICS (Cat. No. 2064.0 - CDATA Online)

"Statistical Local Area (SLA) and Industry of Employment (ANZSIC06) (IND06P)"
"Counting: Persons, Place of Work"

,"Statistical Local Area (SLA)","Industry of Employment (ANZSIC06) (IND06P)",
,,"3299",24,
,,"E000",39,
,,"3300",0,
,,"3310",0,
,,"3311",7,
,,"3312",0,
,,"3319",43,
,,"3320",0,
,,"3321",10,
,,"3322",64,
,,"3323",15,
,,"3330",0,
,,"3331",5,
,,"3332",30,
,,"3339",43,
,,"3400",12,
,,"3410",0,
,,"3411",55,
,,"3419",36,
,,"3490",11,
,,"3491",11,
,,"3492",15,
,,"3493",3,
,,"3494",41,
,,"3499",24,
,,"3500",3,
,,"3501",8,
,,"3502",27,
,,"3503",0,
,,"3504",52,
,,"3505",9,
,,"3600",3,
,,"3601",31,
,,"3602",38,
,,"3603",4,
,,"3604",4,
,,"3605",15,
,,"3606",0,
,,"3609",55,
,,"3700",0,
,,"3710",0,
,,"3711",4,
,,"3712",4,
,,"3720",16,
,,"3730",0,
,,"3731",6,
,,"3732",4,
,,"3733",9,
,,"3734",6,
,,"3735",30,
,,"3736",34,
,,"3739",12,
,,"3800",30,
,,"F000",59,
,,"3900",0,
,,"3910",3,
,,"3911",117,
,,"3912",5,
,,"3913",6,
,,"3920",3,
,,"3921",53,
,,"3922",20,
,,"4000",104,
,,"4100",21,
,,"4110",605,
,,"4120",3,
,,"4121",56,
,,"4122",8,
,,"4123",37,
,,"4129",130,
,,"4200",14,
,,"4210",0,
,,"4211",94,
,,"4212",30,
,,"4213",18,
,,"4214",50,
,,"4220",0,
,,"4221",155,
,,"4222",32,
,,"4229",3,
,,"4230",0,
,,"4231",160,
,,"4232",31,
,,"4240",0,
,,"4241",73,
,,"4242",42,
,,"4243",14,
,,"4244",77,
,,"4245",10,
,,"4250",0,
,,"4251",316,
,,"4252",67,
,,"4253",92,
,,"4259",21,
,,"4260",386,
,,"4270",3,
,,"4271",173,
,,"4272",18,
,,"4273",16,
,,"4274",10,
,,"4279",156,
,,"4300",4,
,,"4310",3,
,,"4320",0,
,,"G000",131,
,,"4400",411,
,,"4500",15,
,,"4510",4,
,,"4511",369,
,,"4512",518,
,,"4513",38,
,,"4520",218,
,,"4530",358,
,,"H000",0,
,,"4600",0,
,,"4610",506,
,,"4620",20,
,,"4621",14,
,,"4622",22,
,,"4623",30,
,,"4700",3,
,,"4710",0,
,,"4720",13,
,,"4800",0,
,,"4810",0,
,,"4820",0,
,,"4900",26,
,,"5000",0,
,,"5010",0,
,,"5020",0,
,,"5021",0,
,,"5029",0,
,,"5100",0,
,,"5101",100,
,,"5102",24,
,,"5200",0,
,,"5210",0,
,,"5211",0,
,,"5212",3,
,,"5219",0,
,,"5220",12,
,,"5290",0,
,,"5291",3,
,,"5292",31,
,,"5299",17,
,,"5300",0,
,,"5301",0,
,,"5309",17,
,,"I000",12,
,,"5400",0,
,,"5410",0,
,,"5411",22,
,,"5412",3,
,,"5413",0,
,,"5414",0,
,,"5419",0,
,,"5420",0,
,,"5500",0,
,,"5510",0,
,,"5511",3,
,,"5512",0,
,,"5513",54,
,,"5514",0,
,,"5520",0,
,,"5521",0,
,,"5522",0,
,,"5600",0,
,,"5610",57,
,,"5620",0,
,,"5621",41,
,,"5622",5,
,,"5700",3,
,,"5800",18,
,,"5801",89,
,,"5802",14,
,,"5809",3,
,,"5900",0,
,,"5910",18,
,,"5920",0,
,,"5921",3,
,,"5922",3,
,,"6000",0,
,,"6010",5,
,,"6020",0,
,,"J000",0,
,,"6200",37,
,,"6210",0,
,,"6220",0,
,,"6221",240,
,,"6222",71,
,,"6223",3,
,,"6229",0,
,,"6230",0,
,,"6240",8,
,,"6300",4,
,,"6310",6,
,,"6320",0,
,,"6321",13,
,,"6322",112,
,,"6330",5,
,,"6400",0,
,,"6410",7,
,,"6411",8,
,,"6419",104,
,,"6420",33,
,,"K000",17,
,,"6600",3,
,,"6610",0,
,,"6611",19,
,,"6619",4,
,,"6620",0,
,,"6630",4,
,,"6631",14,
,,"6632",22,
,,"6639",29,
,,"6640",0,
,,"6700",6,
,,"6710",0,
,,"6711",26,
,,"6712",25,
,,"6720",210,
,,"L000",0,
,,"6900",10,
,,"6910",4,
,,"6920",7,
,,"6921",41,
,,"6922",25,
,,"6923",83,
,,"6924",32,
,,"6925",11,
,,"6930",0,
,,"6931",192,
,,"6932",384,
,,"6940",26,
,,"6950",20,
,,"6960",4,
,,"6961",3,
,,"6962",49,
,,"6970",29,
,,"6990",0,
,,"6991",24,
,,"6999",3,
,,"7000",108,
,,"M000",3,
,,"7200",3,
,,"7210",0,
,,"7211",80,
,,"7212",56,
,,"7220",33,
,,"7290",0,
,,"7291",17,
,,"7292",0,
,,"7293",5,
,,"7294",3,
,,"7299",18,
,,"7300",0,
,,"7310",0,
,,"7311",178,
,,"7312",17,
,,"7313",31,
,,"7320",6,
,,"N000",0,
,,"7500",8,
,,"7510",902,
,,"7520",230,
,,"7530",294,
,,"7540",27,
,,"7550",0,
,,"7551",0,
,,"7552",0,
,,"7600",21,
,,"7700",0,
,,"7710",0,
,,"7711",125,
,,"7712",79,
,,"7713",43,
,,"7714",25,
,,"7719",3,
,,"7720",3,
,,"O000",0,
,,"8000",0,
,,"8010",65,
,,"8020",16,
,,"8021",340,
,,"8022",337,
,,"8023",221,
,,"8024",36,
,,"8100",0,
,,"8101",208,
,,"8102",274,
,,"8200",0,
,,"8210",3,
,,"8211",20,
,,"8212",44,
,,"8219",58,
,,"8220",3,
,,"P000",29,
,,"8400",3,
,,"8401",900,
,,"8402",0,
,,"8500",103,
,,"8510",0,
,,"8511",134,
,,"8512",101,
,,"8520",136,
,,"8530",4,
,,"8531",70,
,,"8532",28,
,,"8533",27,
,,"8534",31,
,,"8539",111,
,,"8590",0,
,,"8591",34,
,,"8599",15,
,,"8600",3,
,,"8601",398,
,,"8609",78,
,,"8700",75,
,,"8710",242,
,,"8790",239,
,,"Q000",75,
,,"8900",0,
,,"8910",6,
,,"8920",0,
,,"8921",0,
,,"8922",6,
,,"9000",3,
,,"9001",22,
,,"9002",17,
,,"9003",3,
,,"9100",3,
,,"9110",0,
,,"9111",15,
,,"9112",18,
,,"9113",29,
,,"9114",6,
,,"9120",0,
,,"9121",3,
,,"9129",22,
,,"9130",0,
,,"9131",3,
,,"9139",0,
,,"9200",0,
,,"9201",0,
,,"9202",3,
,,"9209",10,
,,"R000",9,
,,"9400",12,
,,"9410",12,
,,"9411",9,
,,"9412",80,
,,"9419",182,
,,"9420",6,
,,"9421",12,
,,"9422",52,
,,"9429",66,
,,"9490",0,
,,"9491",8,
,,"9499",9,
,,"9500",0,
,,"9510",0,
,,"9511",228,
,,"9512",7,
,,"9520",18,
,,"9530",0,
,,"9531",57,
,,"9532",3,
,,"9533",0,
,,"9534",0,
,,"9539",19,
,,"9540",46,
,,"9550",0,
,,"9551",14,
,,"9552",3,
,,"9559",24,
,,"9600",0,
,,"9601",0,
,,"9602",0,
,,"9603",0,
,,"S000",0,
,,"9900",150,
,"105950099","&&&&",60,
,,"@@@@",0,
,,"0100",3,
,,"0110",0,
,,"0111",0,
,,"0112",0,
,,"0113",0,
,,"0114",0,
,,"0115",0,
,,"0120",0,
,,"0121",0,
,,"0122",0,
,,"0123",0,
,,"0130",0,
,,"0131",0,
,,"0132",0,
,,"0133",0,
,,"0134",3,
,,"0135",0,
,,"0136",0,
,,"0137",0,
,,"0139",0,
,,"0140",0,
,,"0141",0,
,,"0142",3,
,,"0143",0,
,,"0144",0,
,,"0145",0,
,,"0146",0,
,,"0149",0,
,,"0150",0,
,,"0151",0,
,,"0152",3,
,,"0159",0,
,,"0160",0,
,,"0170",0,
,,"0171",3,
,,"0172",0,
,,"0180",0,
,,"0190",0,
,,"0191",0,
,,"0192",0,
,,"0193",0,
,,"0199",0,
,,"0200",0,
,,"0201",0,
,,"0202",0,
,,"0203",0,
,,"0300",0,
,,"0301",0,
,,"0302",0,
,,"0400",0,
,,"0410",0,
,,"0411",0,
,,"0412",0,
,,"0413",0,
,,"0414",0,
,,"0419",0,
,,"0420",0,
,,"0500",0,
,,"0510",0,
,,"0520",0,
,,"0521",0,
,,"0522",0,
,,"0529",0,
,,"A000",0,
,,"0600",5,
,,"0700",0,
,,"0800",0,
,,"0801",0,
,,"0802",0,
,,"0803",0,
,,"0804",0,
,,"0805",0,
,,"0806",0,
,,"0807",0,
,,"0809",0,
,,"0900",0,
,,"0910",0,
,,"0911",0,
,,"0919",0,
,,"0990",0,
,,"1000",0,
,,"1010",0,
,,"1011",0,
,,"1012",0,
,,"1090",0,
,,"B000",0,
,,"1100",3,
,,"1110",0,
,,"1111",0,
,,"1112",3,
,,"1113",0,
,,"1120",0,
,,"1130",0,
,,"1131",3,
,,"1132",0,
,,"1133",0,
,,"1140",3,
,,"1150",0,
,,"1160",0,
,,"1161",0,
,,"1162",3,
,,"1170",0,
,,"1171",3,
,,"1172",0,
,,"1173",0,
,,"1174",0,
,,"1180",0,
,,"1181",0,
,,"1182",4,
,,"1190",0,
,,"1191",3,
,,"1192",3,
,,"1199",3,
,,"1200",0,
,,"1210",0,
,,"1211",8,
,,"1212",3,
,,"1213",0,
,,"1214",0,
,,"1220",5,
,,"1300",0,
,,"1310",0,
,,"1311",0,
,,"1312",0,
,,"1313",0,
,,"1320",0,
,,"1330",0,
,,"1331",3,
,,"1332",0,
,,"1333",0,
,,"1334",0,
,,"1340",0,
,,"1350",0,
,,"1351",9,
,,"1352",0,
,,"1400",0,
,,"1410",0,
,,"1411",0,
,,"1412",0,
,,"1413",0,
,,"1490",0,
,,"1491",0,
,,"1492",5,
,,"1493",0,
,,"1494",0,
,,"1499",0,
,,"1500",3,
,,"1510",0,
,,"1520",0,
,,"1521",3,
,,"1522",0,
,,"1523",0,
,,"1524",0,
,,"1529",0,
,,"1600",0,
,,"1610",0,
,,"1611",14,
,,"1612",0,
,,"1620",4,
,,"1700",0,
,,"1701",3,
,,"1709",0,
,,"1800",0,
,,"1810",0,
,,"1811",0,
,,"1812",0,
