
AUSTRALIAN BUREAU OF STATISTICS (Cat. No. 2064.0 - CDATA Online)

"Statistical Local Area (SLA) and Industry of Employment (ANZSIC06) (IND06P) by Sex Male/Female (SEXP)"
"Counting: Persons, Place of Work"

,,"Sex Male/Female (SEXP)","Male","Female",
,"Statistical Local Area (SLA)","Industry of Employment (ANZSIC06) (IND06P)",
,,"2490",0,0,
,,"2491",0,0,
,,"2499",0,0,
,,"2500",0,0,
,,"2510",0,0,
,,"2511",0,0,
,,"2512",0,0,
,,"2513",0,0,
,,"2519",0,0,
,,"2590",0,0,
,,"2591",0,0,
,,"2592",0,0,
,,"2599",0,0,
,,"C000",3,0,
,,"2600",0,0,
,,"2610",0,0,
,,"2611",0,0,
,,"2612",0,0,
,,"2619",0,0,
,,"2620",0,0,
,,"2630",0,0,
,,"2640",0,0,
,,"2700",0,0,
,,"2810",0,0,
,,"2811",0,0,
,,"2812",0,0,
,,"2900",0,0,
,,"2910",0,0,
,,"2911",0,0,
,,"2919",0,0,
,,"2920",0,0,
,,"2921",0,0,
,,"2922",0,0,
,,"D000",0,0,
,,"3000",3,0,
,,"3010",0,0,
,,"3011",0,0,
,,"3019",0,0,
,,"3020",0,0,
,,"3100",0,0,
,,"3101",0,0,
,,"3109",0,0,
,,"3200",0,0,
,,"3210",0,0,
,,"3211",0,0,
,,"3212",0,0,
,,"3220",0,0,
,,"3221",0,0,
,,"3222",0,0,
,,"3223",0,0,
,,"3224",0,0,
,,"3230",0,0,
,,"3231",3,0,
,,"3232",3,0,
,,"3233",0,0,
,,"3234",0,0,
,,"3239",0,0,
,,"3240",0,0,
,,"3241",0,0,
,,"3242",0,0,
,,"3243",3,0,
,,"3244",3,0,
,,"3245",0,0,
,,"3290",0,0,
,,"3291",3,0,
,,"3292",0,0,
,,"3299",0,0,
,,"E000",0,0,
,,"3300",0,0,
,,"3310",0,0,
,,"3311",0,0,
,,"3312",0,0,
,,"3319",0,0,
,,"3320",0,0,
,,"3321",0,0,
,,"3322",0,0,
,,"3323",0,0,
,,"3330",0,0,
,,"3331",0,0,
,,"3332",0,0,
,,"3339",0,0,
,,"3400",0,0,
,,"3410",0,0,
,,"3411",0,0,
,,"3419",0,0,
,,"3490",0,0,
,,"3491",0,0,
,,"3492",0,0,
,,"3493",0,0,
,,"3494",0,0,
,,"3499",0,0,
,,"3500",0,0,
,,"3501",0,0,
,,"3502",0,0,
,,"3503",0,0,
,,"3504",0,0,
,,"3505",0,0,
,,"3600",0,0,
,,"3601",0,0,
,,"3602",0,0,
,,"3603",0,0,
,,"3604",0,0,
,,"3605",0,0,
,,"3606",0,0,
,,"3609",0,0,
,,"3700",0,0,
,,"3710",0,0,
,,"3711",0,0,
,,"3712",0,0,
,,"3720",0,0,
,,"3730",0,0,
,,"3731",0,0,
,,"3732",0,0,
,,"3733",0,0,
,,"3734",0,0,
,,"3735",0,0,
,,"3736",0,0,
,,"3739",0,0,
,,"3800",0,0,
,,"F000",0,0,
,,"3900",0,0,
,,"3910",0,0,
,,"3911",0,0,
,,"3912",0,0,
